Customer Name,Customer ID,Country,Country ID,Aliases
2-BIZ RESERVER VARER,879,Denmark,1,"2-Biz,2Biz,Reserver,2-BIZ"
AASKOV - ÅRHUS C,18,Denmark,1,"Aaskov,Aarhus,AASKOV"
A & G SKIVE ApS,876,Denmark,1,"AG Skive,Skive,AG"
AAGE FRØLUND RANDERS - INVEST APS,28,Denmark,1,"Aage Frølund,Randers,Invest"
AAGE FRØLUND SKIVE,27,Denmark,1,"Aage Frølund,Skive"
AASKOV - ÅBENRÅ,16,Denmark,1,"Aaskov,Åbenrå"
AASKOV - ÅLBORG,13,Denmark,1,"Aaskov,Ålborg,Aalborg"
AASKOV - ATT: PERSONALET - SILKEBORG,3,Denmark,1,"Aaskov,Silkeborg,Personalet"
AASKOV - ATT: PERSONALET - SØNDERBORG,2,Denmark,1,"Aaskov,Sønderborg,Sonderborg,Personalet"
AASKOV - ATT. PERSONALET - ÅBENRÅ,6,Denmark,1,"Aaskov,Åbenrå,Personalet"
AASKOV - ATT. PERSONALET - ÅLBORG,8,Denmark,1,"Aaskov,Ålborg,Aalborg,Personalet"
AASKOV - ATT. PERSONALET - ÅRHUS C,9,Denmark,1,"Aaskov,Århus,Aarhus,Personalet"
AASKOV - ATT. PERSONALET - HADERSLEV,5,Denmark,1,"Aaskov,Haderslev,Personalet"
AASKOV - ATT. PERSONALET - HERNING,12,Denmark,1,"Aaskov,Herning,Personalet"
AASKOV - ATT. PERSONALET - ODENSE C,4,Denmark,1,"Aaskov,Odense,Personalet"
AASKOV - ATT. PERSONALET - RANDERS,10,Denmark,1,"Aaskov,Randers,Personalet"
AASKOV - ATT. PERSONALET - VEJLE,7,Denmark,1,"Aaskov,Vejle,Personalet"
AASKOV - ATT. PERSONALET - VIBORG,11,Denmark,1,"Aaskov,Viborg,Personalet"
AASKOV - HERNING,22,Denmark,1,"Aaskov,Herning"
AASKOV - ODENSE C,14,Denmark,1,"Aaskov,Odense"
AASKOV - RANDERS,19,Denmark,1,"Aaskov,Randers"
AASKOV - SILKEBORG,21,Denmark,1,"Aaskov,Silkeborg"
AASKOV - SØNDERBORG,15,Denmark,1,"Aaskov,Sønderborg,Sonderborg"
AASKOV - VEJLE,17,Denmark,1,"Aaskov,Vejle"
AASKOV - VIBORG,20,Denmark,1,"Aaskov,Viborg"
AASKOV MODETØJ A/S - ADMINISTRATION/LAGER,1,Denmark,1,"Aaskov,Administration,Lager" 
